FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1509	20160406_L_VC_ColF18_Exp17_01.mzML	7893.866518	7898.798906	2	1905.3	1933.94	28.6441	1905.3	2.65984e+07	1.6703e+07	7	12	6	0.909542	0.932504
1510	20160406_L_VC_ColF18_Exp17_01.mzML	25283.792181	25299.552672	2	7340.8	7364.78	23.9813	7364.78	2.53882e+07	1.66499e+07	23	42	12	0.924792	0.759858
1511	20160406_L_VC_ColF18_Exp17_01.mzML	7865.904859	7870.823755	3	2098.27	2126.93	28.665	2126.93	4.47143e+07	1.6524e+07	6	14	9	0.905203	0.963703
1512	20160406_L_VC_ColF18_Exp17_01.mzML	6273.549297	6277.431079	3	992.966	1011.86	18.8967	992.966	2.95587e+07	1.65021e+07	6	10	5	0.934764	0.977048
1513	20160406_L_VC_ColF18_Exp17_01.mzML	4558.820536	4561.690879	2	1769	1819.37	50.3723	1819.37	3.02283e+07	1.64977e+07	5	8	4	0.927414	0.974844
1514	20160406_L_VC_ColF18_Exp17_01.mzML	8784.666228	8790.131672	2	7114.76	7158.71	43.9463	7158.71	3.05752e+07	1.63894e+07	7	13	7	0.91608	0.980333
1515	20160406_L_VC_ColF18_Exp17_01.mzML	8839.816167	8845.307102	2	2410.94	2461.69	50.7426	2461.69	2.37695e+07	1.6335e+07	11	16	6	0.941798	0.983034
1516	20160406_L_VC_ColF18_Exp17_01.mzML	10380.735032	10387.223960	3	8182.23	8208.09	25.8605	8182.23	2.38574e+07	1.59766e+07	7	15	8	0.913253	0.858408
1517	20160406_L_VC_ColF18_Exp17_01.mzML	8005.997357	8010.996345	6	1976.03	2001.41	25.3776	1990.47	7.04772e+07	1.5431e+07	6	14	9	0.95842	0.933016
1518	20160406_L_VC_ColF18_Exp17_01.mzML	13581.299754	13589.770259	2	1819.37	1850.26	30.8858	1819.37	1.88674e+07	1.50402e+07	15	24	8	0.879832	0.627835
1519	20160406_L_VC_ColF18_Exp17_01.mzML	9997.886023	10004.142810	5	2101.54	2146.55	45.0179	2134.58	4.15642e+07	1.45012e+07	7	16	10	0.977351	0.987487
1520	20160406_L_VC_ColF18_Exp17_01.mzML	11300.164230	11307.208744	6	2079.82	2115.9	36.0744	2084.13	6.03211e+07	1.44808e+07	9	20	12	0.987612	0.927332
1521	20160406_L_VC_ColF18_Exp17_01.mzML	7878.880092	7883.798988	4	1780.92	1841.96	61.0421	1823.62	3.21155e+07	1.41595e+07	8	14	7	0.967695	0.996662
1522	20160406_L_VC_ColF18_Exp17_01.mzML	8550.033674	8555.344329	2	2195.54	2206.53	10.9939	2195.54	1.92754e+07	1.40624e+07	6	13	8	0.976218	0.982333
1523	20160406_L_VC_ColF18_Exp17_01.mzML	7113.783787	7118.249740	3	2134.58	2146.55	11.9726	2134.58	3.41998e+07	1.3927e+07	6	12	7	0.93189	0.973627
1524	20160406_L_VC_ColF18_Exp17_01.mzML	79296.085071	79345.699837	2	7672	7689.09	17.0889	7672	2.36129e+07	1.38995e+07	56	100	24	0.802568	0.578972
1525	20160406_L_VC_ColF18_Exp17_01.mzML	6312.366350	6316.273496	14	1111.21	1155.38	44.1742	1135.1	1.37066e+08	1.37696e+07	6	11	6	0.937396	0.983776
1526	20160406_L_VC_ColF18_Exp17_01.mzML	6311.330414	6315.237560	3	1034.42	1060.89	26.4628	1051.11	3.82128e+07	1.3578e+07	6	11	6	0.991282	0.967587
1527	20160406_L_VC_ColF18_Exp17_01.mzML	6251.517141	6255.385463	4	1224.43	1234.83	10.3982	1224.43	5.16655e+07	1.34893e+07	6	11	6	0.914055	0.986667
1528	20160406_L_VC_ColF18_Exp17_01.mzML	11429.777955	11436.890162	2	7456.21	7488.96	32.7431	7488.96	2.09965e+07	1.33651e+07	9	17	9	0.918838	0.960598
